K,Accuracy
1,0.5806451612903226
2,0.3870967741935484
3,0.7096774193548387
4,0.7096774193548387
5,0.6774193548387096
6,0.6774193548387096
7,0.7419354838709677
8,0.7419354838709677
9,0.7096774193548387
10,0.6451612903225806
11,0.6774193548387096
12,0.6774193548387096
13,0.6774193548387096
14,0.6774193548387096
15,0.6774193548387096
16,0.6774193548387096
17,0.6774193548387096
18,0.6774193548387096
19,0.6774193548387096
20,0.6774193548387096
21,0.6451612903225806
22,0.6774193548387096
23,0.6774193548387096
24,0.6451612903225806
25,0.6774193548387096
26,0.6451612903225806
27,0.6129032258064516
28,0.6129032258064516
29,0.6129032258064516
30,0.6129032258064516
